item_id,total_demand,demand_rank,percentile_rank,movement_type
FOODS_3_090,1017916.0,1,0.00032797638570022957,Fast-moving
FOODS_3_586,932236.0,2,0.0006559527714004591,Fast-moving
FOODS_3_252,573723.0,3,0.0009839291571006887,Fast-moving
FOODS_3_555,497881.0,4,0.0013119055428009183,Fast-moving
FOODS_3_587,402159.0,5,0.0016398819285011479,Fast-moving
FOODS_3_714,402111.0,6,0.0019678583142013774,Fast-moving
FOODS_3_694,395937.0,7,0.0022958346999016072,Fast-moving
FOODS_3_226,368369.0,8,0.0026238110856018366,Fast-moving
FOODS_3_202,300529.0,9,0.0029517874713020664,Fast-moving
FOODS_3_120,290132.0,10,0.0032797638570022957,Fast-moving
FOODS_3_723,289170.0,11,0.0036077402427025255,Fast-moving
FOODS_3_635,282174.0,12,0.003935716628402755,Fast-moving
FOODS_3_808,281888.0,13,0.004263693014102984,Fast-moving
FOODS_3_377,276989.0,14,0.0045916693998032145,Fast-moving
FOODS_3_541,272632.0,15,0.004919645785503444,Fast-moving
FOODS_3_080,265811.0,16,0.005247622171203673,Fast-moving
FOODS_3_318,264845.0,17,0.0055755985569039025,Fast-moving
FOODS_2_360,261878.0,18,0.005903574942604133,Fast-moving
FOODS_3_681,256134.0,19,0.006231551328304362,Fast-moving
FOODS_3_234,254447.0,20,0.0065595277140045915,Fast-moving
FOODS_1_218,237733.0,21,0.006887504099704822,Fast-moving
FOODS_3_376,231286.0,22,0.007215480485405051,Fast-moving
FOODS_3_607,225436.0,23,0.00754345687110528,Fast-moving
FOODS_3_099,216471.0,24,0.00787143325680551,Fast-moving
FOODS_3_319,208363.0,25,0.008199409642505739,Fast-moving
FOODS_3_295,205086.0,26,0.008527386028205968,Fast-moving
FOODS_3_804,204936.0,27,0.0088553624139062,Fast-moving
FOODS_3_752,204803.0,28,0.009183338799606429,Fast-moving
FOODS_3_501,202850.0,29,0.009511315185306658,Fast-moving
FOODS_3_491,199199.0,30,0.009839291571006888,Fast-moving
FOODS_3_462,194512.0,31,0.010167267956707117,Fast-moving
FOODS_3_711,193404.0,32,0.010495244342407346,Fast-moving
FOODS_3_282,191126.0,33,0.010823220728107576,Fast-moving
FOODS_3_007,187600.0,34,0.011151197113807805,Fast-moving
FOODS_3_811,182974.0,35,0.011479173499508036,Fast-moving
FOODS_3_030,182547.0,36,0.011807149885208265,Fast-moving
FOODS_3_547,181908.0,37,0.012135126270908495,Fast-moving
FOODS_3_281,179140.0,38,0.012463102656608724,Fast-moving
HOUSEHOLD_1_334,174036.0,39,0.012791079042308954,Fast-moving
HOUSEHOLD_1_459,173054.0,40,0.013119055428009183,Fast-moving
FOODS_3_389,171940.0,41,0.013447031813709412,Fast-moving
FOODS_3_458,168416.0,42,0.013775008199409643,Fast-moving
FOODS_3_498,168354.0,43,0.014102984585109873,Fast-moving
FOODS_2_197,164027.0,44,0.014430960970810102,Fast-moving
FOODS_3_288,162029.0,45,0.014758937356510331,Fast-moving
FOODS_2_276,160385.0,46,0.01508691374221056,Fast-moving
